Elapsed Time (s),Frequency (Hz),S11 (dB),S21 (dB),OBJ,Height (m)
0.48744726181030273,2200000000.0,-45.640310672488205,8.034139333116656,YES,1.6
1.0869944095611572,2200000000.0,-56.341486280072466,-0.356767916093588,YES,1.6
1.5572576522827148,2200000000.0,-55.95594244919742,-0.3240571688360114,YES,1.6
2.071887969970703,2200000000.0,-56.10376826919072,-0.32126690798565033,YES,1.6
2.5182149410247803,2200000000.0,-56.18174973079198,-0.39566599206433967,YES,1.6
2.9542744159698486,2200000000.0,-55.12940033068841,-0.4888400764863607,YES,1.6
3.462076187133789,2200000000.0,-55.37918217619318,-0.37519449293916124,YES,1.6
3.9602959156036377,2200000000.0,-55.39756350420013,-0.40478743329625644,YES,1.6
4.4297637939453125,2200000000.0,-55.51820732227802,-0.31945848853363956,YES,1.6
4.913028240203857,2200000000.0,-55.34353924191506,-0.28885678601672443,YES,1.6
5.394545555114746,2200000000.0,-56.247167906812166,-0.5263342231845535,YES,1.6
5.832235813140869,2200000000.0,-55.81527483025745,-0.4003184508041451,YES,1.6
6.2842347621917725,2200000000.0,-55.8422201865049,-0.37812675268828333,YES,1.6
6.72676157951355,2200000000.0,-55.37373937790804,-0.46206774318297344,YES,1.6
7.16778039932251,2200000000.0,-55.89320110896139,-0.3137017980958926,YES,1.6
7.729837656021118,2200000000.0,-56.17993613697795,-0.3400422901278935,YES,1.6
8.187053442001343,2200000000.0,-56.062690719905,-0.3188220882405861,YES,1.6
8.687198400497437,2200000000.0,-55.38286658054523,-0.33742696951474205,YES,1.6
9.222339153289795,2200000000.0,-56.374661175234664,-0.5530925290619461,YES,1.6
9.692477703094482,2200000000.0,-55.179845207912564,-0.42581297943962115,YES,1.6
10.142249584197998,2200000000.0,-55.680259821191235,-0.5065438248849387,YES,1.6
10.597829103469849,2200000000.0,-55.80378447658612,-0.49094579850710557,YES,1.6
11.106289386749268,2200000000.0,-56.15262939310821,-0.3869819412975539,YES,1.6
11.567671537399292,2200000000.0,-55.88183555602449,-0.4034534827369146,YES,1.6
12.051720380783081,2200000000.0,-55.85127898168598,-0.384928576803057,YES,1.6
12.543792963027954,2200000000.0,-55.980602015959974,-0.37607769471321895,YES,1.6
13.058223962783813,2200000000.0,-55.92572408945013,-0.3719675315527959,YES,1.6
13.53915810585022,2200000000.0,-55.98219690160431,-0.36050304003801276,YES,1.6
14.001345872879028,2200000000.0,-55.91119608915925,-0.3733341770155993,YES,1.6
14.469468116760254,2200000000.0,-56.00025157900815,-0.380237268105636,YES,1.6
14.98395037651062,2200000000.0,-55.95389144467502,-0.3847117577137229,YES,1.6
15.577136278152466,2200000000.0,-55.97553441678963,-0.41912842401952194,YES,1.6
16.04003381729126,2200000000.0,-55.91672094300398,-0.4460099420694631,YES,1.6
16.4904887676239,2200000000.0,-55.87462004523669,-0.49356578671744444,YES,1.6
16.97047519683838,2200000000.0,-55.867443580404306,-0.4955964010070543,YES,1.6
17.43245005607605,2200000000.0,-56.04039335625208,-0.4934563828444173,YES,1.6
17.886746644973755,2200000000.0,-55.55077179304388,-0.5122507879451348,YES,1.6
18.395158529281616,2200000000.0,-55.37338944613282,-0.43186418517639796,YES,1.6
18.828621864318848,2200000000.0,-55.51327691284001,-0.4477027922498794,YES,1.6
