Time,Raw_dBFS,S21_dB,S21_Gaussian,S21_SavGol,Baseline,Diff_dB,Detect_Flag,Minima_Flag,OBJ,Height
0.476867,-15.0445,-16.8445,-16.8065,-16.7721,0,16.7721,0,0,MINE_TEST,1.25
0.502779,-15.2952,-17.0952,-17.0221,-16.9806,0,16.9806,0,0,MINE_TEST,1.25
0.529145,-15.481,-17.281,-17.2173,-17.1875,0,17.1875,0,0,MINE_TEST,1.25
0.555128,-15.6265,-17.4265,-17.3914,-17.3903,0,17.3903,0,0,MINE_TEST,1.25
0.580991,-15.7452,-17.5452,-17.5495,-17.5855,0,17.5855,0,0,MINE_TEST,1.25
0.606626,-15.8923,-17.6923,-17.6981,-17.7676,0,17.7676,0,0,MINE_TEST,1.25
0.632573,-16.0585,-17.8585,-17.8401,-17.9291,0,17.9291,0,0,MINE_TEST,1.25
0.658188,-16.199,-17.999,-17.9742,-18.0609,0,18.0609,0,0,MINE_TEST,1.25
0.683884,-16.3275,-18.1275,-18.0948,-18.153,0,18.153,0,0,MINE_TEST,1.25
0.709946,-16.4433,-18.2433,-18.1926,-18.196,0,18.196,0,0,MINE_TEST,1.25
0.736543,-16.5517,-18.3517,-18.2527,-18.1819,0,18.1819,0,0,MINE_TEST,1.25
0.762514,-16.6289,-18.4289,-18.2549,-18.1048,0,18.1048,0,0,MINE_TEST,1.25
0.788602,-16.6004,-18.4004,-18.177,-17.9612,0,17.9612,0,0,MINE_TEST,1.25
0.814764,-16.4559,-18.2559,-18.001,-17.7504,0,17.7504,0,0,MINE_TEST,1.25
0.840578,-16.1555,-17.9555,-17.7203,-17.4751,0,17.4751,0,0,MINE_TEST,1.25
0.866651,-15.705,-17.505,-17.3426,-17.1421,0,17.1421,0,0,MINE_TEST,1.25
0.892276,-15.187,-16.987,-16.8892,-16.7621,0,16.7621,0,0,MINE_TEST,1.25
0.918214,-14.6059,-16.4059,-16.3898,-16.3499,0,16.3499,0,0,MINE_TEST,1.25
0.943877,-14.0351,-15.8351,-15.8773,-15.9228,0,15.9228,0,0,MINE_TEST,1.25
