Time,Raw_dBFS,S21_dB,S21_Gaussian,S21_Gauss_SavGol,OBJ,Height
1.14027,1.62252,0.0025163,0.0100315,0.010808,NO,1.25
1.20186,1.62519,0.00518998,0.0109324,0.0113929,NO,1.25
1.26438,1.6372,0.0172015,0.0124462,0.0119318,NO,1.25
1.32613,1.63652,0.016524,0.0137271,0.0123009,NO,1.25
1.38888,1.64159,0.0215903,0.0140352,0.0123941,NO,1.25
1.45059,1.63173,0.0117295,0.013331,0.0121565,NO,1.25
1.51271,1.62907,0.00906722,0.0121769,0.0116068,NO,1.25
1.57511,1.63024,0.0102414,0.0111647,0.0108276,NO,1.25
1.63699,1.62995,0.00995386,0.0104682,0.00991717,NO,1.25
1.69895,1.63005,0.0100491,0.00981484,0.00894797,NO,1.25
1.76099,1.63311,0.0131143,0.00880637,0.0079768,NO,1.25
1.82311,1.62924,0.00923717,0.00729901,0.00708469,NO,1.25
1.88966,1.62315,0.00315452,0.00557376,0.0063846,NO,1.25
1.95099,1.6214,0.00140381,0.00417354,0.00598509,NO,1.25
2.01331,1.61991,-8.51786e-05,0.00355664,0.00595595,NO,1.25
2.07497,1.62597,0.00596969,0.00390143,0.00632094,NO,1.25
2.13694,1.61918,-0.000823321,0.00513463,0.0070583,NO,1.25
2.19928,1.62738,0.0073838,0.00700762,0.00809644,NO,1.25
2.26005,1.63178,0.0117844,0.00914847,0.00931747,NO,1.25
2.32263,1.63044,0.0104371,0.0111613,0.0105838,NO,1.25
2.38415,1.63357,0.0135673,0.0127785,0.0117767,NO,1.25
2.44531,1.63934,0.01934,0.0139903,0.0128198,NO,1.25
2.50802,1.63138,0.0113768,0.0150268,0.0136666,NO,1.25
2.56931,1.63072,0.0107168,0.0160608,0.0142692,NO,1.25
2.63134,1.6403,0.0203019,0.0168238,0.0145658,NO,1.25
2.69301,1.64628,0.0262809,0.0166651,0.0144997,NO,1.25
2.75485,1.63839,0.0183858,0.0151999,0.0140596,NO,1.25
2.8166,1.63033,0.0103281,0.012848,0.0133066,NO,1.25
2.87862,1.62781,0.00780619,0.0106417,0.0123674,NO,1.25
2.94083,1.62212,0.00212372,0.00946124,0.0113891,NO,1.25
3.00237,1.62569,0.00568718,0.00937891,0.0104832,NO,1.25
3.05799,1.63751,0.0175094,0.00966536,0.00970086,NO,1.25
3.11369,1.63449,0.0144861,0.00948535,0.00906165,NO,1.25
3.16912,1.62741,0.00741042,0.00864351,0.00860469,NO,1.25
3.22453,1.62417,0.00417489,0.00768037,0.00840293,NO,1.25
3.27853,1.62431,0.00431402,0.00733487,0.00851694,NO,1.25
3.33302,1.62445,0.004448,0.00793527,0.00893347,NO,1.25
3.38781,1.63039,0.0103864,0.00921897,0.00955309,NO,1.25
3.44308,1.63202,0.0120229,0.0105762,0.0102401,NO,1.25
3.49732,1.63463,0.0146336,0.0115093,0.0109011,NO,1.25
3.55286,1.63742,0.0174202,0.0119921,0.0115361,NO,1.25
3.60781,1.61988,-0.000124705,0.0124013,0.0122177,NO,1.25
3.66216,1.63699,0.0169932,0.0130751,0.013004,NO,1.25
