Time,Raw_dBFS,S21_dB,S21_Gaussian,S21_SavGol,Baseline,Diff_dB,Detect_Flag,Minima_Flag,OBJ,Height
0.481625,-5.16661,-6.96661,-6.86441,-6.86062,0,6.86062,0,0,MINE_TEST,1.25
0.50735,-4.86394,-6.66394,-6.70848,-6.79147,0,6.79147,0,0,MINE_TEST,1.25
0.533305,-4.57165,-6.37165,-6.57182,-6.71942,0,6.71942,0,0,MINE_TEST,1.25
0.559455,-4.47979,-6.27979,-6.48209,-6.64801,0,6.64801,0,0,MINE_TEST,1.25
0.585319,-4.55687,-6.35687,-6.4471,-6.58069,0,6.58069,0,0,MINE_TEST,1.25
0.611361,-4.67187,-6.47187,-6.45301,-6.52022,0,6.52022,0,0,MINE_TEST,1.25
0.637195,-4.69004,-6.49004,-6.47497,-6.46838,0,6.46838,0,0,MINE_TEST,1.25
0.663096,-4.75002,-6.55002,-6.48992,-6.42609,0,6.42609,0,0,MINE_TEST,1.25
0.688775,-4.79003,-6.59003,-6.48465,-6.39356,0,6.39356,0,0,MINE_TEST,1.25
0.714697,-4.70115,-6.50115,-6.45801,-6.37016,0,6.37016,0,0,MINE_TEST,1.25
0.740768,-4.55907,-6.35907,-6.41783,-6.35419,0,6.35419,0,0,MINE_TEST,1.25
0.766583,-4.53776,-6.33776,-6.37316,-6.34294,0,6.34294,0,0,MINE_TEST,1.25
0.792652,-4.58016,-6.38016,-6.32862,-6.33333,0,6.33333,0,0,MINE_TEST,1.25
0.818653,-4.5075,-6.3075,-6.28602,-6.32285,0,6.32285,0,0,MINE_TEST,1.25
0.845072,-4.40943,-6.20943,-6.25001,-6.31021,0,6.31021,0,0,MINE_TEST,1.25
0.871263,-4.33189,-6.13189,-6.22883,-6.2955,0,6.2955,0,0,MINE_TEST,1.25
0.897368,-4.35634,-6.15634,-6.22871,-6.28011,0,6.28011,0,0,MINE_TEST,1.25
0.923455,-4.47905,-6.27905,-6.24902,-6.26646,0,6.26646,0,0,MINE_TEST,1.25
0.949495,-4.4422,-6.2422,-6.28249,-6.25749,0,6.25749,0,0,MINE_TEST,1.25
0.97546,-4.50383,-6.30383,-6.31791,-6.25574,0,6.25574,0,0,MINE_TEST,1.25
1.00135,-4.64158,-6.44158,-6.34239,-6.26268,0,6.26268,0,0,MINE_TEST,1.25
1.02736,-4.63184,-6.43184,-6.34562,-6.27849,0,6.27849,0,0,MINE_TEST,1.25
1.05319,-4.58825,-6.38825,-6.32678,-6.30223,0,6.30223,0,0,MINE_TEST,1.25
1.07931,-4.48017,-6.28017,-6.29897,-6.33212,0,6.33212,0,0,MINE_TEST,1.25
1.10536,-4.35593,-6.15593,-6.28503,-6.36613,0,6.36613,0,0,MINE_TEST,1.25
1.13171,-4.34497,-6.14497,-6.30565,-6.40269,0,6.40269,0,0,MINE_TEST,1.25
1.15802,-4.47303,-6.27303,-6.36702,-6.44136,0,6.44136,0,0,MINE_TEST,1.25
1.18981,-4.67089,-6.47089,-6.45712,-6.48285,0,6.48285,0,0,MINE_TEST,1.25
1.21643,-4.83188,-6.63188,-6.55346,-6.52839,0,6.52839,0,0,MINE_TEST,1.25
1.24234,-4.92021,-6.72021,-6.63603,-6.57905,-6.36613,0.212923,0,0,MINE_TEST,1.25
