Time,Raw_dBFS,S21_dB,S21_Gaussian,S21_Gauss_SavGol,OBJ,Height
0.472994,-11.4718,-13.0918,-13.0375,-13.0179,NO,1.25
0.498943,-11.1936,-12.8136,-12.875,-12.9439,NO,1.25
0.524835,-10.9664,-12.5864,-12.7322,-12.8965,NO,1.25
0.550535,-10.8436,-12.4636,-12.6416,-12.8809,NO,1.25
0.576339,-10.8194,-12.4394,-12.6248,-12.897,NO,1.25
0.601948,-10.886,-12.506,-12.69,-12.9403,NO,1.25
0.627842,-11.0642,-12.6842,-12.8313,-13.0044,NO,1.25
0.653767,-11.3324,-12.9524,-13.0289,-13.0827,NO,1.25
0.679495,-11.6543,-13.2743,-13.2496,-13.1689,NO,1.25
0.705212,-11.9648,-13.5848,-13.4515,-13.2564,NO,1.25
0.731472,-12.2459,-13.8659,-13.5958,-13.3387,NO,1.25
0.757391,-12.3688,-13.9888,-13.6623,-13.41,NO,1.25
0.789099,-11.9603,-13.5803,-13.6573,-13.4671,NO,1.25
0.815053,-11.9893,-13.6093,-13.6045,-13.5091,NO,1.25
0.841151,-11.9586,-13.5786,-13.5281,-13.5373,NO,1.25
0.867045,-11.8577,-13.4777,-13.4453,-13.5531,NO,1.25
0.892947,-11.6829,-13.3029,-13.371,-13.5574,NO,1.25
0.918825,-11.5849,-13.2049,-13.3223,-13.5493,NO,1.25
0.944758,-11.5587,-13.1787,-13.3141,-13.5272,NO,1.25
0.97067,-11.6211,-13.2411,-13.3502,-13.4888,NO,1.25
0.996633,-11.7642,-13.3842,-13.417,-13.4321,NO,1.25
1.02229,-11.9422,-13.5622,-13.4846,-13.3567,NO,1.25
1.04809,-12.0776,-13.6976,-13.5136,-13.2637,NO,1.25
1.07427,-12.1267,-13.7467,-13.4674,-13.156,NO,1.25
1.10008,-11.9656,-13.5856,-13.3256,-13.0372,NO,1.25
1.12598,-11.6295,-13.2495,-13.0931,-12.9099,NO,1.25
1.15152,-11.201,-12.821,-12.8003,-12.776,NO,1.25
1.17764,-10.7998,-12.4198,-12.4957,-12.637,NO,1.25
1.20383,-10.416,-12.036,-12.2331,-12.4956,NO,1.25
1.2298,-9.99717,-11.6172,-12.0551,-12.3557,NO,1.25
1.25562,-10.2512,-11.8712,-11.9767,-12.2224,NO,1.25
1.28131,-10.1047,-11.7247,-11.9778,-12.1014,NO,1.25
1.30739,-10.6973,-12.3173,-12.0145,-11.9985,NO,1.25
1.33337,-10.5159,-12.1359,-12.0438,-11.9199,NO,1.25
1.35943,-10.4516,-12.0716,-12.0437,-11.87,NO,1.25
1.38541,-10.4104,-12.0304,-12.0145,-11.8496,NO,1.25
1.41116,-10.3669,-11.9869,-11.9666,-11.8542,NO,1.25
1.43724,-10.2962,-11.9162,-11.9102,-11.8755,NO,1.25
1.46275,-10.2273,-11.8473,-11.8547,-11.9047,NO,1.25
1.48882,-10.1647,-11.7847,-11.8146,-11.936,NO,1.25
1.51448,-10.0814,-11.7014,-11.8126,-11.9681,NO,1.25
1.54041,-10.0036,-11.6236,-11.8706,-12.0042,NO,1.25
1.56614,-9.94657,-11.5666,-11.9907,-12.0493,NO,1.25
1.59195,-10.9091,-12.5291,-12.1438,-12.1077,NO,1.25
1.61783,-10.8681,-12.4881,-12.2854,-12.1811,NO,1.25
1.64361,-10.8311,-12.4511,-12.3875,-12.2695,NO,1.25
1.66933,-10.81,-12.43,-12.4537,-12.3709,NO,1.25
1.69508,-10.8338,-12.4538,-12.5067,-12.4826,NO,1.25
1.72078,-10.8969,-12.5169,-12.5681,-12.6005,NO,1.25
1.74683,-10.9859,-12.6059,-12.6487,-12.7196,NO,1.25
1.77247,-11.0916,-12.7116,-12.7502,-12.8349,NO,1.25
1.79882,-11.2159,-12.8359,-12.8692,-12.943,NO,1.25
1.82702,-11.3689,-12.9889,-12.9997,-13.0431,NO,1.25
1.85277,-11.5251,-13.1451,-13.1332,-13.1364,NO,1.25
1.87913,-11.6809,-13.3009,-13.2593,-13.2239,NO,1.25
1.90479,-11.8101,-13.4301,-13.3675,-13.3039,NO,1.25
1.93044,-11.9078,-13.5278,-13.4494,-13.3726,NO,1.25
1.95623,-11.9509,-13.5709,-13.5009,-13.426,NO,1.25
1.98213,-11.9545,-13.5745,-13.5228,-13.4613,NO,1.25
2.00817,-11.9323,-13.5523,-13.5196,-13.478,NO,1.25
2.03416,-11.8977,-13.5177,-13.4973,-13.4775,NO,1.25
2.05999,-11.86,-13.48,-13.4618,-13.4627,NO,1.25
2.08575,-11.8098,-13.4298,-13.418,-13.4371,NO,1.25
2.11133,-11.7485,-13.3685,-13.3706,-13.4048,NO,1.25
2.13709,-11.6877,-13.3077,-13.3242,-13.3691,NO,1.25
2.16271,-11.6416,-13.2616,-13.2832,-13.3327,NO,1.25
2.18884,-11.6042,-13.2242,-13.2502,-13.2966,NO,1.25
2.21475,-11.593,-13.213,-13.2257,-13.2608,NO,1.25
2.24067,-11.5783,-13.1983,-13.208,-13.2244,NO,1.25
2.26659,-11.5713,-13.1913,-13.1935,-13.1863,NO,1.25
2.29227,-11.5709,-13.1909,-13.1773,-13.1458,NO,1.25
2.31843,-11.5652,-13.1852,-13.1534,-13.1028,NO,1.25
2.34498,-11.5416,-13.1616,-13.1164,-13.0577,NO,1.25
2.37086,-11.4911,-13.1111,-13.0634,-13.0111,NO,1.25
2.39677,-11.3974,-13.0174,-12.9964,-12.9641,NO,1.25
2.42274,-11.2954,-12.9154,-12.922,-12.9178,NO,1.25
