Time,Raw_dBFS,S21_dB,S21_Gaussian,S21_SavGol,Baseline,Diff_dB,Detect_Flag,Minima_Flag,OBJ,Height
0.479546,-51.8878,-53.6878,-54.6924,-57.4532,0,57.4532,0,0,MINE_TEST,1.25
0.505634,-53.6358,-55.4358,-54.9259,-57.1544,0,57.1544,0,0,MINE_TEST,1.25
0.53208,-53.9714,-55.7714,-55.2679,-56.8264,0,56.8264,0,0,MINE_TEST,1.25
0.558377,-54.1516,-55.9516,-55.501,-56.3271,0,56.3271,0,0,MINE_TEST,1.25
0.584887,-54.183,-55.983,-55.4744,-55.3826,0,55.3826,0,0,MINE_TEST,1.25
0.611286,-54.284,-56.084,-55.114,-53.8025,0,53.8025,0,0,MINE_TEST,1.25
0.637708,-54.5643,-56.3643,-54.4555,-51.6247,0,51.6247,0,0,MINE_TEST,1.25
0.664262,-51.3249,-53.1249,-53.5614,-49.096,0,49.096,0,0,MINE_TEST,1.25
0.690719,-45.3997,-47.1997,-52.2379,-46.5375,0,46.5375,0,0,MINE_TEST,1.25
0.717556,-56.1998,-57.9998,-49.807,-44.2204,0,44.2204,0,0,MINE_TEST,1.25
0.744115,-53.2292,-55.0292,-45.4646,-42.3184,0,42.3184,0,0,MINE_TEST,1.25
0.770811,-49.9711,-51.7711,-39.2988,-40.9257,0,40.9257,0,0,MINE_TEST,1.25
0.797397,-15.0511,-16.8511,-32.9592,-40.0855,0,40.0855,0,0,MINE_TEST,1.25
0.823122,-14.603,-16.403,-29.0357,-39.8101,0,39.8101,0,0,MINE_TEST,1.25
0.849231,-14.4484,-16.2484,-29.4468,-40.0902,0,40.0902,0,0,MINE_TEST,1.25
0.875467,-15.9196,-17.7196,-34.14,-40.8994,0,40.8994,0,0,MINE_TEST,1.25
0.902249,-55.1108,-56.9108,-41.1354,-42.1954,0,42.1954,0,0,MINE_TEST,1.25
0.928911,-53.9998,-55.7998,-47.8488,-43.9264,0,43.9264,0,0,MINE_TEST,1.25
0.955507,-54.7912,-56.5912,-52.6005,-46.0334,0,46.0334,0,0,MINE_TEST,1.25
0.981925,-55.7172,-57.5172,-55.1329,-48.4311,0,48.4311,0,0,MINE_TEST,1.25
1.00887,-55.1942,-56.9942,-56.0775,-50.9571,0,50.9571,0,0,MINE_TEST,1.25
1.03514,-54.4965,-56.2965,-56.1802,-53.3345,0,53.3345,0,0,MINE_TEST,1.25
1.06178,-54.0228,-55.8228,-55.9417,-55.2183,0,55.2183,0,0,MINE_TEST,1.25
1.08855,-53.7523,-55.5523,-55.5976,-56.3328,0,56.3328,0,0,MINE_TEST,1.25
1.11518,-53.4285,-55.2285,-55.2207,-56.6119,0,56.6119,0,0,MINE_TEST,1.25
1.14187,-53.5282,-55.3282,-54.8283,-56.234,0,56.234,0,0,MINE_TEST,1.25
1.1688,-52.2398,-54.0398,-54.4303,-55.5233,0,55.5233,0,0,MINE_TEST,1.25
1.19521,-52.1338,-53.9338,-54.0575,-54.7885,0,54.7885,0,0,MINE_TEST,1.25
1.22206,-51.7776,-53.5776,-53.7451,-54.2074,0,54.2074,0,0,MINE_TEST,1.25
1.24867,-51.5297,-53.3297,-53.5155,-53.8191,-51.6247,2.19436,0,0,MINE_TEST,1.25
1.27524,-51.3607,-53.1607,-53.3746,-53.5878,-53.3345,0.25328,0,0,MINE_TEST,1.25
1.30156,-51.3531,-53.1531,-53.3163,-53.4662,-53.3345,0.13161,0,0,MINE_TEST,1.25
1.32783,-51.4537,-53.2537,-53.3255,-53.4213,-53.4213,0,0,0,MINE_TEST,1.25
1.35449,-51.5566,-53.3566,-53.3824,-53.4359,-53.4213,0.0146263,0,0,MINE_TEST,1.25
1.38114,-51.6639,-53.4639,-53.4708,-53.5008,-53.4359,0.0648859,0,0,MINE_TEST,1.25
1.40785,-51.7099,-53.5099,-53.5814,-53.6068,-53.4359,0.170929,0,0,MINE_TEST,1.25
1.43443,-51.8601,-53.6601,-53.7103,-53.7397,-53.4662,0.273564,0,0,MINE_TEST,1.25
1.46672,-52.055,-53.855,-53.852,-53.878,-53.4662,0.411867,0,0,MINE_TEST,1.25
1.49334,-52.1855,-53.9855,-53.9952,-53.9976,-53.5008,0.496775,0,0,MINE_TEST,1.25
1.51958,-52.4211,-54.2211,-54.1228,-54.0783,-53.5008,0.577543,0,0,MINE_TEST,1.25
1.54593,-52.5367,-54.3367,-54.216,-54.1088,-53.5878,0.520935,0,0,MINE_TEST,1.25
1.573,-52.6299,-54.4299,-54.2612,-54.0852,-53.5878,0.497371,0,0,MINE_TEST,1.25
1.59982,-52.5067,-54.3067,-54.2481,-54.008,-53.6068,0.401126,0,0,MINE_TEST,1.25
1.62634,-52.4557,-54.2557,-54.1613,-53.8772,-53.6068,0.270389,0,0,MINE_TEST,1.25
1.65286,-52.4152,-54.2152,-53.974,-53.6927,-53.6927,0,0,0,MINE_TEST,1.25
1.67933,-52.4283,-54.2283,-53.6653,-53.4589,-53.6068,0.147931,0,0,MINE_TEST,1.25
