Time,Raw_dBFS,S21_dB,S21_Gaussian,S21_Gauss_SavGol,OBJ,Height
2.38103,-14.4453,-0.0452635,-0.0446257,-0.0444443,NO,1.25
2.51209,-14.4451,-0.0450949,-0.0440887,-0.044258,NO,1.25
2.64351,-14.4418,-0.0417655,-0.0435546,-0.04417,NO,1.25
2.77438,-14.4428,-0.0427941,-0.0431111,-0.0441702,NO,1.25
2.90515,-14.4437,-0.043687,-0.0428405,-0.0442299,NO,1.25
3.03637,-14.4426,-0.0425621,-0.0428672,-0.0443057,NO,1.25
3.16743,-14.4398,-0.0397598,-0.0433353,-0.0443539,NO,1.25
3.29884,-14.4418,-0.0418099,-0.0442267,-0.0443444,NO,1.25
3.42943,-14.4487,-0.0486618,-0.0452201,-0.0442598,NO,1.25
3.56089,-14.4492,-0.0491939,-0.0458396,-0.0440858,NO,1.25
3.69207,-14.4468,-0.0468122,-0.0457746,-0.0438078,NO,1.25
3.82349,-14.4445,-0.0444831,-0.0450232,-0.0434146,NO,1.25
3.95402,-14.4455,-0.0454731,-0.0437855,-0.0429025,NO,1.25
4.08502,-14.4435,-0.0434679,-0.0423292,-0.0422754,NO,1.25
4.21621,-14.438,-0.0380063,-0.0409295,-0.0415431,NO,1.25
4.347,-14.4382,-0.038241,-0.039784,-0.040724,NO,1.25
4.47822,-14.4399,-0.0399222,-0.0389223,-0.0398546,NO,1.25
4.60935,-14.4387,-0.0387397,-0.0382517,-0.0389987,NO,1.25
4.74071,-14.4372,-0.0371835,-0.0377093,-0.0382387,NO,1.25
4.87175,-14.436,-0.0360157,-0.0373235,-0.0376472,NO,1.25
5.0027,-14.4364,-0.0364332,-0.0371277,-0.03726,NO,1.25
5.13396,-14.438,-0.0380451,-0.0370796,-0.0370704,NO,1.25
5.2651,-14.4371,-0.0371112,-0.0370979,-0.0370438,NO,1.25
5.39615,-14.4367,-0.0367026,-0.0371422,-0.0371331,NO,1.25
5.52686,-14.4371,-0.0371242,-0.037232,-0.037291,NO,1.25
5.65784,-14.4372,-0.0371637,-0.0373992,-0.0374804,NO,1.25
5.78922,-14.4374,-0.0373602,-0.0376459,-0.0376785,NO,1.25
5.91998,-14.4382,-0.0382246,-0.037939,-0.0378698,NO,1.25
6.05109,-14.4379,-0.0379244,-0.0382243,-0.0380389,NO,1.25
6.18217,-14.4393,-0.0393292,-0.0384468,-0.0381721,NO,1.25
6.31355,-14.4385,-0.0385446,-0.0385711,-0.0382631,NO,1.25
6.44417,-14.4386,-0.0385725,-0.0385888,-0.0383141,NO,1.25
6.57517,-14.439,-0.0390208,-0.0385116,-0.0383285,NO,1.25
6.70692,-14.4385,-0.0385159,-0.0383633,-0.0383047,NO,1.25
6.83769,-14.4376,-0.0376413,-0.0381738,-0.0382365,NO,1.25
6.96863,-14.4382,-0.038243,-0.0379709,-0.0381185,NO,1.25
7.0995,-14.4383,-0.038329,-0.0377782,-0.0379517,NO,1.25
7.23531,-14.4363,-0.0363056,-0.0376138,-0.037745,NO,1.25
7.36187,-14.438,-0.0379681,-0.0374794,-0.0375124,NO,1.25
7.49318,-14.4379,-0.0378644,-0.037351,-0.037269,NO,1.25
7.62406,-14.4367,-0.0367108,-0.0371935,-0.0370268,NO,1.25
7.75517,-14.4373,-0.0372804,-0.0369796,-0.0367939,NO,1.25
7.88636,-14.4372,-0.0371862,-0.0367004,-0.036575,NO,1.25
8.01724,-14.4364,-0.0364195,-0.0363766,-0.0363721,NO,1.25
8.14849,-14.4355,-0.0355349,-0.0360614,-0.0361858,NO,1.25
