Time,Raw_dBFS,S21_dB,S21_Gaussian,S21_Gauss_SavGol,OBJ,Height
2.38127,-14.4266,-0.0265822,-0.0262301,-0.0263188,NO,1.25
2.51202,-14.4257,-0.0257176,-0.0262267,-0.0264581,NO,1.25
2.64325,-14.4251,-0.0251011,-0.0263546,-0.0266317,NO,1.25
2.77545,-14.4264,-0.026371,-0.0266635,-0.0268495,NO,1.25
2.90615,-14.4277,-0.0277024,-0.0271135,-0.0271311,NO,1.25
3.03687,-14.4274,-0.0274006,-0.0276108,-0.0274846,NO,1.25
3.16793,-14.4279,-0.0279287,-0.0280569,-0.0278944,NO,1.25
3.29927,-14.4293,-0.0293066,-0.0283823,-0.0283281,NO,1.25
3.4305,-14.4295,-0.0295098,-0.0285926,-0.0287546,NO,1.25
3.56093,-14.4283,-0.0282946,-0.0288112,-0.0291565,NO,1.25
3.69223,-14.4269,-0.026852,-0.0292185,-0.029531,NO,1.25
3.82305,-14.4289,-0.0289284,-0.0298801,-0.0298814,NO,1.25
3.9543,-14.4322,-0.0321649,-0.0306341,-0.0302102,NO,1.25
4.0854,-14.4325,-0.0325378,-0.0311839,-0.0305138,NO,1.25
4.21645,-14.4333,-0.0332721,-0.0313288,-0.030782,NO,1.25
4.34747,-14.4315,-0.0314974,-0.0311241,-0.0310021,NO,1.25
4.47845,-14.4288,-0.0287757,-0.0308342,-0.0311636,NO,1.25
4.60996,-14.4299,-0.0299242,-0.0307314,-0.0312609,NO,1.25
4.74056,-14.4303,-0.0302977,-0.0309126,-0.0312895,NO,1.25
4.87181,-14.4314,-0.0314177,-0.0312635,-0.0312464,NO,1.25
5.00264,-14.4326,-0.0325951,-0.0315589,-0.0311384,NO,1.25
5.13389,-14.4326,-0.0325944,-0.0316069,-0.0309913,NO,1.25
5.26484,-14.4326,-0.0325883,-0.0313582,-0.0308491,NO,1.25
5.39592,-14.4303,-0.030297,-0.0309294,-0.0307574,NO,1.25
5.5269,-14.4295,-0.0294729,-0.0305203,-0.0307414,NO,1.25
5.65837,-14.4296,-0.0295656,-0.0302829,-0.0307955,NO,1.25
5.78926,-14.4303,-0.0303045,-0.0302512,-0.030892,NO,1.25
5.92034,-14.4306,-0.0305588,-0.0303731,-0.0310013,NO,1.25
6.0517,-14.43,-0.030008,-0.0305905,-0.031109,NO,1.25
6.18261,-14.431,-0.0310277,-0.030879,-0.0312156,NO,1.25
6.31312,-14.4311,-0.031087,-0.031236,-0.0313227,NO,1.25
6.44445,-14.4314,-0.0313645,-0.0316449,-0.0314213,NO,1.25
6.57583,-14.4316,-0.0316195,-0.0320358,-0.0314909,NO,1.25
6.70724,-14.4339,-0.0338599,-0.032283,-0.031509,NO,1.25
6.83818,-14.4332,-0.0331637,-0.032266,-0.0314617,NO,1.25
6.96881,-14.4327,-0.0326858,-0.0319585,-0.0313474,NO,1.25
7.10012,-14.4311,-0.0310605,-0.0314497,-0.0311727,NO,1.25
7.23118,-14.4303,-0.0302977,-0.0308717,-0.0309469,NO,1.25
7.36195,-14.4306,-0.0305506,-0.030319,-0.0306784,NO,1.25
7.49351,-14.43,-0.0299589,-0.02984,-0.0303751,NO,1.25
7.62411,-14.4292,-0.0292269,-0.0294828,-0.030048,NO,1.25
7.75545,-14.4277,-0.027727,-0.0292985,-0.0297164,NO,1.25
7.88671,-14.4292,-0.0292283,-0.0292832,-0.0294118,NO,1.25
8.01783,-14.4301,-0.030055,-0.0293464,-0.0291734,NO,1.25
8.14861,-14.4298,-0.0297592,-0.0293704,-0.0290346,NO,1.25
8.27983,-14.4298,-0.0297517,-0.0292993,-0.0290091,NO,1.25
8.41076,-14.4285,-0.0285052,-0.0291624,-0.0290873,NO,1.25
8.54209,-14.4289,-0.0289488,-0.0290278,-0.029243,NO,1.25
8.67314,-14.4292,-0.0292378,-0.0289598,-0.029443,NO,1.25
8.80404,-14.4285,-0.0284725,-0.0290196,-0.0296511,NO,1.25
8.93534,-14.4283,-0.0283041,-0.0292612,-0.0298326,NO,1.25
9.06626,-14.4292,-0.0291526,-0.0296874,-0.0299594,NO,1.25
9.19746,-14.4306,-0.0305731,-0.0302049,-0.0300177,NO,1.25
9.32833,-14.4312,-0.0312016,-0.030645,-0.0300086,NO,1.25
9.45932,-14.4324,-0.0323551,-0.0308479,-0.0299417,NO,1.25
9.59061,-14.431,-0.0310066,-0.0307397,-0.0298256,NO,1.25
9.72183,-14.4306,-0.0306065,-0.0303476,-0.0296623,NO,1.25
9.85716,-14.4303,-0.0303072,-0.0297606,-0.0294485,NO,1.25
9.9835,-14.4287,-0.028664,-0.0290865,-0.0291811,NO,1.25
10.1145,-14.4284,-0.0284418,-0.0284311,-0.0288628,NO,1.25
10.2461,-14.4272,-0.0271948,-0.0278888,-0.0285058,NO,1.25
10.377,-14.4273,-0.0273065,-0.0275289,-0.028135,NO,1.25
10.5077,-14.4264,-0.0264235,-0.0273717,-0.0277862,NO,1.25
10.6391,-14.4272,-0.0271641,-0.0273696,-0.0274998,NO,1.25
10.7701,-14.4282,-0.0281665,-0.0274229,-0.0273108,NO,1.25
10.9013,-14.4279,-0.0278653,-0.0274443,-0.0272396,NO,1.25
11.0323,-14.4272,-0.0272125,-0.0274168,-0.0272861,NO,1.25
11.1635,-14.4269,-0.0269256,-0.0273904,-0.027432,NO,1.25
11.2943,-14.4274,-0.0274149,-0.0274265,-0.0276468,NO,1.25
11.4256,-14.4272,-0.0271662,-0.0275584,-0.0278956,NO,1.25
11.5565,-14.4279,-0.0279225,-0.0277952,-0.0281475,NO,1.25
11.6876,-14.4276,-0.0276302,-0.0281356,-0.0283817,NO,1.25
11.8186,-14.4284,-0.0284091,-0.0285573,-0.0285883,NO,1.25
11.9523,-14.4285,-0.0285147,-0.0289904,-0.0287628,NO,1.25
12.0835,-14.4311,-0.0310502,-0.0293239,-0.0288981,NO,1.25
12.2121,-14.43,-0.0300148,-0.0294664,-0.0289801,NO,1.25
