Time,Raw_dBFS,S21_dB,S21_Gaussian,S21_SavGol,Baseline,Diff_dB,Detect_Flag,Minima_Flag,OBJ,Height
0.478177,-13.3716,-15.1716,-15.3586,-15.6372,0,15.6372,0,0,MINE_TEST,1.25
0.504075,-13.349,-15.149,-15.3371,-15.6182,0,15.6182,0,0,MINE_TEST,1.25
0.530806,-13.4429,-15.2429,-15.3901,-15.6061,0,15.6061,0,0,MINE_TEST,1.25
0.556514,-13.6457,-15.4457,-15.4969,-15.6071,0,15.6071,0,0,MINE_TEST,1.25
0.582446,-13.8678,-15.6678,-15.6255,-15.6244,0,15.6244,0,0,MINE_TEST,1.25
0.608117,-14.0739,-15.8739,-15.7418,-15.6555,0,15.6555,0,0,MINE_TEST,1.25
0.634171,-14.1711,-15.9711,-15.8196,-15.6916,0,15.6916,0,0,MINE_TEST,1.25
0.660047,-14.1559,-15.9559,-15.8469,-15.7188,0,15.7188,0,0,MINE_TEST,1.25
0.685807,-14.094,-15.894,-15.8265,-15.7222,0,15.7222,0,0,MINE_TEST,1.25
0.711796,-14.001,-15.801,-15.7691,-15.6895,0,15.6895,0,0,MINE_TEST,1.25
0.737671,-13.9012,-15.7012,-15.6852,-15.6141,0,15.6141,0,0,MINE_TEST,1.25
0.763508,-13.8054,-15.6054,-15.5775,-15.4951,0,15.4951,0,0,MINE_TEST,1.25
0.789418,-13.7251,-15.5251,-15.4389,-15.3371,0,15.3371,0,0,MINE_TEST,1.25
0.815633,-13.6099,-15.4099,-15.2574,-15.1488,0,15.1488,0,0,MINE_TEST,1.25
0.841572,-13.402,-15.202,-15.0271,-14.9415,0,14.9415,0,0,MINE_TEST,1.25
0.867421,-13.0209,-14.8209,-14.7589,-14.7273,0,14.7273,0,0,MINE_TEST,1.25
0.893296,-12.531,-14.331,-14.4812,-14.5171,0,14.5171,0,0,MINE_TEST,1.25
0.91886,-12.2634,-14.0634,-14.2269,-14.3201,0,14.3201,0,0,MINE_TEST,1.25
0.944819,-12.1228,-13.9228,-14.0182,-14.1441,0,14.1441,0,0,MINE_TEST,1.25
0.970671,-11.9822,-13.7822,-13.8624,-13.9959,0,13.9959,0,0,MINE_TEST,1.25
0.996549,-11.8706,-13.6706,-13.7583,-13.8814,0,13.8814,0,0,MINE_TEST,1.25
1.02229,-11.781,-13.581,-13.7032,-13.8062,0,13.8062,0,0,MINE_TEST,1.25
1.04824,-11.7973,-13.5973,-13.694,-13.7737,0,13.7737,0,0,MINE_TEST,1.25
1.07424,-11.8742,-13.6742,-13.7258,-13.7844,0,13.7844,0,0,MINE_TEST,1.25
1.10017,-11.9515,-13.7515,-13.7914,-13.8342,0,13.8342,0,0,MINE_TEST,1.25
1.12632,-12.0367,-13.8367,-13.8837,-13.9145,0,13.9145,0,0,MINE_TEST,1.25
1.15248,-12.1576,-13.9576,-13.9968,-14.0137,0,14.0137,0,0,MINE_TEST,1.25
1.17819,-12.3042,-14.1042,-14.1248,-14.12,0,14.12,0,0,MINE_TEST,1.25
1.20436,-12.4574,-14.2574,-14.2592,-14.2234,0,14.2234,0,0,MINE_TEST,1.25
1.23033,-12.6281,-14.4281,-14.3887,-14.3163,-14.7273,0.410964,0,0,MINE_TEST,1.25
1.25613,-12.7753,-14.5753,-14.4995,-14.3939,-14.7273,0.333382,0,0,MINE_TEST,1.25
1.28219,-12.8697,-14.6697,-14.5786,-14.4532,-14.5171,0.0638998,0,0,MINE_TEST,1.25
1.31447,-12.9289,-14.7289,-14.617,-14.4929,-14.5171,0.0241651,0,0,MINE_TEST,1.25
1.3408,-12.9139,-14.7139,-14.6128,-14.5135,-14.5135,0,0,0,MINE_TEST,1.25
