Time,Raw_dBFS,S21_dB,S21_Gaussian,S21_Gauss_SavGol,OBJ,Height
2.38125,-14.4275,-0.0274701,-0.026195,-0.0257896,NO,1.25
2.5122,-14.4261,-0.0261128,-0.0259113,-0.0256472,NO,1.25
2.6431,-14.4251,-0.0250752,-0.025519,-0.025444,NO,1.25
2.77428,-14.4247,-0.0247435,-0.0251151,-0.0251893,NO,1.25
2.90541,-14.4249,-0.0248688,-0.0247587,-0.0249029,NO,1.25
3.03691,-14.4244,-0.0244376,-0.0244533,-0.0246095,NO,1.25
3.16755,-14.4239,-0.023937,-0.0241759,-0.0243335,NO,1.25
3.29893,-14.4243,-0.0243191,-0.0239121,-0.0240943,NO,1.25
3.42972,-14.4235,-0.0234554,-0.0236768,-0.0239067,NO,1.25
3.56082,-14.4233,-0.0232511,-0.0235148,-0.023781,NO,1.25
3.69209,-14.4227,-0.0226634,-0.0234716,-0.0237216,NO,1.25
3.82316,-14.4237,-0.0236564,-0.0235573,-0.0237237,NO,1.25
3.95408,-14.4236,-0.0236291,-0.0237333,-0.0237747,NO,1.25
4.0852,-14.424,-0.0239649,-0.0239368,-0.0238605,NO,1.25
4.21652,-14.4246,-0.0246338,-0.024114,-0.0239703,NO,1.25
4.34755,-14.424,-0.024018,-0.0242441,-0.0240965,NO,1.25
4.47857,-14.4246,-0.0245725,-0.024338,-0.0242295,NO,1.25
4.60979,-14.4241,-0.0241291,-0.0244206,-0.0243569,NO,1.25
4.74051,-14.4247,-0.0247401,-0.024507,-0.0244662,NO,1.25
4.87176,-14.4239,-0.0239472,-0.0245905,-0.024549,NO,1.25
5.0027,-14.4259,-0.0259309,-0.0246521,-0.0246049,NO,1.25
5.13407,-14.4239,-0.0239383,-0.0246831,-0.0246398,NO,1.25
5.26491,-14.4249,-0.0248593,-0.0246911,-0.0246621,NO,1.25
5.39608,-14.4244,-0.0243859,-0.0246804,-0.0246762,NO,1.25
5.52665,-14.4255,-0.025454,-0.0246415,-0.0246794,NO,1.25
5.65811,-14.4244,-0.0243613,-0.0245756,-0.0246648,NO,1.25
5.78927,-14.4243,-0.0243143,-0.0245117,-0.0246272,NO,1.25
5.9201,-14.424,-0.024048,-0.0244862,-0.0245666,NO,1.25
6.05123,-14.4246,-0.0246427,-0.0245035,-0.0244871,NO,1.25
6.1825,-14.4247,-0.0247346,-0.0245269,-0.024393,NO,1.25
6.31304,-14.4246,-0.0245984,-0.0245006,-0.024286,NO,1.25
6.44454,-14.4247,-0.0247006,-0.0243843,-0.0241669,NO,1.25
6.57561,-14.4247,-0.0246978,-0.0241758,-0.0240389,NO,1.25
6.70656,-14.4237,-0.0236727,-0.0239237,-0.0239097,NO,1.25
6.8381,-14.4232,-0.0231891,-0.0237038,-0.0237882,NO,1.25
6.96878,-14.4231,-0.0230843,-0.0235689,-0.0236832,NO,1.25
7.09975,-14.4238,-0.0238076,-0.0235109,-0.0236026,NO,1.25
7.2313,-14.4235,-0.0234609,-0.0234809,-0.023556,NO,1.25
7.36224,-14.4241,-0.024065,-0.0234466,-0.0235534,NO,1.25
7.49268,-14.4228,-0.0228111,-0.0234302,-0.0236023,NO,1.25
7.62412,-14.4229,-0.022944,-0.0234845,-0.0237026,NO,1.25
7.7555,-14.4235,-0.0234943,-0.0236389,-0.0238443,NO,1.25
7.88659,-14.4241,-0.0240603,-0.0238755,-0.0240098,NO,1.25
8.01739,-14.4241,-0.0241005,-0.0241541,-0.0241806,NO,1.25
8.14913,-14.4246,-0.0246365,-0.0244444,-0.0243449,NO,1.25
8.27957,-14.424,-0.0239772,-0.0247229,-0.0244994,NO,1.25
8.41051,-14.4259,-0.025935,-0.0249548,-0.0246462,NO,1.25
8.542,-14.4256,-0.0255514,-0.0251013,-0.0247863,NO,1.25
8.67303,-14.4245,-0.0245344,-0.0251436,-0.0249165,NO,1.25
8.80427,-14.4259,-0.0258757,-0.0250958,-0.0250293,NO,1.25
8.93524,-14.4252,-0.0251965,-0.0250052,-0.0251189,NO,1.25
9.06664,-14.4243,-0.0242789,-0.0249434,-0.0251843,NO,1.25
9.19734,-14.4241,-0.02411,-0.0249715,-0.0252298,NO,1.25
9.32831,-14.4255,-0.0255037,-0.0250921,-0.025262,NO,1.25
