Time,S21_dB,Phase_Deg,S21_Gauss_SavGol,Phase_Gauss_SavGol,Background_dB,Background_Phase,Anomaly,OBJ,Height
1.33425,0.0178541,-467.87,0.00848509,-388.663,0.0140875,189.72,0,NO,1.25
1.3509,0.0199144,-533.659,0.00797335,-412.12,0.0139905,180.167,0,NO,1.25
1.3675,-0.0245477,-421.966,0.00761518,-431.293,0.0138908,170.613,0,NO,1.25
1.38395,0.0219108,-519.469,0.00753403,-447.971,0.013793,161.096,0,NO,1.25
1.40051,0.0208908,-402.432,0.00772452,-464.508,0.0137011,151.617,0,NO,1.25
1.41689,-0.0194179,-415.608,0.0080654,-483.814,0.013617,142.133,0,NO,1.25
1.43348,0.0216271,-407.499,0.00845447,-508.692,0.0135411,132.562,0,NO,1.25
1.44813,0.0229076,-426.43,0.00887362,-541.075,0.0134734,122.799,0,NO,1.25
1.46193,-0.0171446,-466.249,0.00932451,-581.781,0.0134141,112.734,0,NO,1.25
1.47612,0.0422661,-626.946,0.00980317,-630.864,0.0133633,102.261,0,NO,1.25
1.48964,-0.0193946,-727.909,0.0103492,-687.987,0.0133214,91.2852,0,NO,1.25
1.50401,0.0179527,-847.77,0.0110313,-752.437,0.0132901,79.7273,0,NO,1.25
1.5177,0.0384533,-700.127,0.0118411,-822.889,0.0132705,67.5298,0,NO,1.25
1.53185,0.0216726,-842.373,0.0126598,-897.181,0.0132623,54.667,0,NO,1.25
1.54658,-0.0284503,-972.024,0.0133445,-972.173,0.0132634,41.1559,0,NO,1.25
1.56102,0.00565713,-1136.45,0.0137968,-1043.87,0.0132703,27.0647,0,NO,1.25
1.57506,0.0217283,-1175.26,0.0139451,-1108.1,0.013279,12.5114,0,NO,1.25
1.58863,0.0388092,-1204.61,0.0137545,-1161.76,0.013285,-2.35279,0,NO,1.25
1.60232,-0.0164111,-1173.52,0.0132877,-1203.76,0.013285,-17.3704,0,NO,1.25
1.61627,0.0173019,-1312.13,0.0127059,-1234.92,0.0132779,-32.4019,0,NO,1.25
1.63016,0.0398459,-1251.87,0.012174,-1256.7,0.0132644,-47.3323,0,NO,1.25
1.64454,0.0434153,-1380.74,0.0117884,-1269.98,0.0132466,-62.063,0,NO,1.25
1.65863,-0.0203256,-1317.69,0.011592,-1274.6,0.013227,-76.498,0,NO,1.25
1.67255,-0.00659657,-1367.13,0.0115919,-1269.88,0.0132077,-90.5378,0,NO,1.25
1.68645,0.0211309,-1320.09,0.0117222,-1255.63,0.0131904,-104.085,0,NO,1.25
1.70057,0.0309502,-1151.15,0.0118557,-1232.62,0.0131751,-117.057,0,NO,1.25
1.71423,-0.036625,-1014.14,0.0119079,-1202.51,0.0131607,-129.392,0,NO,1.25
1.72822,0.00320691,-1162.4,0.0119491,-1167.76,0.0131471,-141.059,0,NO,1.25
1.74278,0.0301967,-1180.69,0.0122013,-1131.47,0.0131366,-152.063,0,NO,1.25
1.75661,0.0446447,-1187.32,0.0128955,-1097.22,0.0131339,-162.45,0,NO,1.25
1.7707,-0.00470841,-1109.32,0.0140683,-1068.23,0.0131441,-172.295,0,NO,1.25
1.78465,-0.00104503,-1114.29,0.0154924,-1046.51,0.0131693,-181.695,0,NO,1.25
1.79878,0.0273089,-1005.84,0.0168461,-1032.13,0.0132084,-190.742,0,NO,1.25
1.81279,0.0488811,-855.013,0.0179545,-1023.05,0.0132584,-199.504,0,NO,1.25
1.82725,0.0251518,-826.176,0.0188023,-1015.37,0.0133162,-208.002,0,NO,1.25
1.84082,-0.0206357,-939.208,0.0193458,-1004.24,0.0133783,-216.211,0,NO,1.25
1.855,0.00558757,-866.181,0.0194594,-985.667,0.0134404,-224.062,0,NO,1.25
1.86969,0.0271941,-1016.96,0.0191341,-958.038,0.0134979,-231.476,0,NO,1.25
1.88354,0.0455935,-1081.3,0.0185858,-922.176,0.0135488,-238.383,0,NO,1.25
1.89789,0.0454875,-1120.14,0.0180529,-879.855,0.0135934,-244.734,0,NO,1.25
1.91207,-0.0173409,-1024.78,0.0175678,-832.114,0.0136323,-250.493,0,NO,1.25
1.92584,0.00093729,-880.708,0.0170484,-778.787,0.0136655,-255.622,0,NO,1.25
1.9397,0.0184938,-823.716,0.0165371,-719.256,0.0136931,-260.08,0,NO,1.25
1.95411,0.0416983,-647.52,0.0161965,-653.519,0.0137169,-263.827,0,NO,1.25
1.96811,0.0395619,-487.561,0.0160781,-582.763,0.0137392,-266.836,0,NO,1.25
1.9825,-0.0259059,-314.269,0.0160582,-509.331,0.0137609,-269.102,0,NO,1.25
1.99628,-0.00405934,-214.523,0.0160541,-436.457,0.0137821,-270.652,0,NO,1.25
2.01074,0.0253291,-354.793,0.0161779,-368.008,0.0138041,-271.545,0,NO,1.25
2.02532,0.0458738,-371.285,0.0165741,-308.062,0.0138293,-271.877,0,NO,1.25
2.03916,0.0188633,-258.503,0.0171778,-260.18,0.0138595,-271.772,0,NO,1.25
2.05291,-0.0174873,-238.376,0.0177383,-226.751,0.0138941,-271.37,0,NO,1.25
2.06707,0.0129273,-98.99,0.0180662,-208.835,0.013931,-270.816,0,NO,1.25
2.08142,0.0345395,-259.124,0.0181977,-206.339,0.0139684,-270.251,0,NO,1.25
2.09567,0.0509196,-277.209,0.0183069,-218.078,0.0140062,-269.797,0,NO,1.25
2.11062,0.00823285,-204.507,0.0184854,-241.837,0.0140448,-269.556,0,NO,1.25
2.12481,-0.00460525,-211.78,0.0186461,-274.876,0.0140841,-269.601,0,NO,1.25
2.13887,0.0264266,-148.174,0.0186641,-314.759,0.0141229,-269.984,0,NO,1.25
2.15411,0.0540131,-295.756,0.018559,-359.782,0.0141602,-270.739,0,NO,1.25
2.16863,-0.0158146,-357.717,0.0184465,-408.713,0.0141959,-271.889,0,NO,1.25
2.18306,0.00231013,-472.795,0.0183293,-460.371,0.0142301,-273.446,0,NO,1.25
2.19758,0.0426834,-501.015,0.0180625,-513.651,0.0142615,-275.415,0,NO,1.25
2.21105,0.00266576,-649.928,0.0175799,-567.892,0.0142885,-277.793,0,NO,1.25
2.22526,0.00356852,-811.521,0.0170621,-622.925,0.0143108,-280.576,0,NO,1.25
2.23937,0.0341997,-778.453,0.0168115,-678.513,0.0143308,-283.76,0,NO,1.25
2.25353,0.0449362,-724.534,0.0169911,-733.712,0.014352,-287.331,0,NO,1.25
2.26756,0.00105929,-800.582,0.0175202,-786.788,0.0143769,-291.264,0,NO,1.25
2.28153,-0.000590443,-783.547,0.0181792,-835.708,0.0144066,-295.517,0,NO,1.25
2.2964,0.0242084,-741.6,0.0187702,-878.768,0.0144404,-300.038,0,NO,1.25
2.31057,0.0469319,-851.922,0.0191947,-915.123,0.014477,-304.77,0,NO,1.25
2.32505,0.000218997,-903.459,0.0194307,-945.136,0.0145148,-309.658,0,NO,1.25
2.34182,-0.0138865,-998.32,0.0194757,-970.312,0.0145524,-314.663,0,NO,1.25
2.35564,0.0300974,-1074.23,0.0193476,-992.592,0.0145885,-319.76,0,NO,1.25
2.36952,0.032314,-1126.81,0.0191373,-1013.15,0.0146224,-324.935,0,NO,1.25
2.38357,0.0260548,-1081.68,0.0189717,-1031.47,0.0146546,-330.168,0,NO,1.25
2.39768,0.0492579,-1103.92,0.0188633,-1045.52,0.0146856,-335.428,0,NO,1.25
2.41154,0.0109168,-1106.08,0.0186643,-1052.93,0.0147146,-340.666,0,NO,1.25
2.42603,-0.0182459,-1075.11,0.0182626,-1052.26,0.0147403,-345.822,0,NO,1.25
2.44031,0.0209988,-901.961,0.0177743,-1043.6,0.0147621,-350.842,0,NO,1.25
2.4545,0.0353859,-968.87,0.0174359,-1028.63,0.0147812,-355.683,0,NO,1.25
2.46821,0.0343752,-1053.63,0.0173415,-1010.22,0.0147994,-360.326,0,NO,1.25
2.48196,-0.0195074,-1020.34,0.0173943,-991.792,0.0148177,-364.772,0,NO,1.25
2.49683,0.0104928,-1133.62,0.0175215,-976.545,0.0148366,-369.051,0,NO,1.25
2.51139,0.0321634,-979.677,0.0178088,-966.88,0.0148572,-373.202,0,NO,1.25
2.52509,0.0494485,-872.898,0.0183527,-964.068,0.0148813,-377.277,0,NO,1.25
2.53922,-0.0217994,-834.157,0.019048,-968.135,0.0149099,-381.324,0,NO,1.25
2.55223,0.00158851,-948.002,0.0196278,-978.005,0.014942,-385.383,0,NO,1.25
