Time,Raw_dBFS,S21_dB,S21_Gaussian,S21_Gauss_SavGol,OBJ,Height
2.3813,-14.4267,-0.0266531,-0.0257749,-0.0259303,NO,1.25
2.51248,-14.4267,-0.0266674,-0.0259075,-0.0258806,NO,1.25
2.64383,-14.4258,-0.0257749,-0.0259165,-0.0258586,NO,1.25
2.77441,-14.425,-0.0249935,-0.0258769,-0.0258414,NO,1.25
2.90592,-14.4259,-0.0259084,-0.0258426,-0.0258182,NO,1.25
3.03686,-14.4267,-0.0266981,-0.0258053,-0.0257817,NO,1.25
3.16751,-14.4256,-0.0255732,-0.0257361,-0.0257248,NO,1.25
3.29915,-14.4253,-0.025315,-0.0256321,-0.0256418,NO,1.25
3.42962,-14.4255,-0.0255351,-0.0255074,-0.0255342,NO,1.25
3.56107,-14.4258,-0.0258246,-0.025366,-0.0254131,NO,1.25
3.69213,-14.425,-0.0249989,-0.0252096,-0.0252915,NO,1.25
3.82329,-14.4251,-0.0251488,-0.0250589,-0.0251737,NO,1.25
3.95385,-14.4246,-0.0245691,-0.0249453,-0.0250531,NO,1.25
4.08525,-14.4244,-0.0244186,-0.0248764,-0.0249204,NO,1.25
4.21626,-14.4254,-0.0253961,-0.0248189,-0.0247741,NO,1.25
4.34759,-14.4252,-0.0251992,-0.0247286,-0.0246213,NO,1.25
4.47834,-14.4244,-0.0244492,-0.0245952,-0.0244722,NO,1.25
4.60973,-14.4239,-0.023907,-0.0244417,-0.024333,NO,1.25
4.7407,-14.4244,-0.0244124,-0.0242802,-0.0242042,NO,1.25
4.87182,-14.4247,-0.0247162,-0.0240938,-0.0240808,NO,1.25
5.00299,-14.424,-0.0239785,-0.0238748,-0.0239552,NO,1.25
5.13383,-14.4232,-0.0231946,-0.0236595,-0.0238226,NO,1.25
5.26507,-14.4231,-0.0231108,-0.0235082,-0.0236852,NO,1.25
5.39591,-14.4232,-0.0231687,-0.0234508,-0.0235526,NO,1.25
5.52755,-14.4237,-0.0236605,-0.0234593,-0.0234357,NO,1.25
5.65847,-14.4236,-0.0236216,-0.0234686,-0.0233386,NO,1.25
5.78931,-14.4235,-0.0235113,-0.0234173,-0.0232568,NO,1.25
5.92046,-14.424,-0.0240126,-0.0232851,-0.0231838,NO,1.25
6.05091,-14.4229,-0.0229419,-0.0231095,-0.0231183,NO,1.25
6.18248,-14.4221,-0.0220593,-0.0229663,-0.0230651,NO,1.25
6.31366,-14.4229,-0.0229419,-0.0229143,-0.0230296,NO,1.25
6.44461,-14.4228,-0.0228466,-0.0229508,-0.0230127,NO,1.25
6.57559,-14.4228,-0.02282,-0.0230137,-0.0230099,NO,1.25
6.707,-14.4239,-0.0238893,-0.0230305,-0.023015,NO,1.25
6.8378,-14.4236,-0.0235576,-0.022979,-0.0230228,NO,1.25
6.96903,-14.4217,-0.0216929,-0.0229087,-0.023029,NO,1.25
7.09999,-14.423,-0.0230066,-0.0228978,-0.0230276,NO,1.25
