Time,Raw_dBFS,S21_dB,S21_Gaussian,S21_SavGol,Baseline,Diff_dB,Detect_Flag,Minima_Flag,OBJ,Height
0.473842,-5.86205,-7.66205,-7.6449,-7.6384,0,7.6384,0,0,MINE_TEST,1.25
0.500204,-5.85045,-7.65045,-7.64679,-7.63978,0,7.63978,0,0,MINE_TEST,1.25
0.526482,-5.83608,-7.63608,-7.64679,-7.63832,0,7.63832,0,0,MINE_TEST,1.25
0.552323,-5.84295,-7.64295,-7.64645,-7.63437,0,7.63437,0,0,MINE_TEST,1.25
0.578178,-5.84752,-7.64752,-7.64607,-7.62903,0,7.62903,0,0,MINE_TEST,1.25
0.603947,-5.85528,-7.65528,-7.64468,-7.62426,0,7.62426,0,0,MINE_TEST,1.25
0.630027,-5.85079,-7.65079,-7.64128,-7.62265,0,7.62265,0,0,MINE_TEST,1.25
0.655749,-5.83671,-7.63671,-7.63616,-7.627,0,7.627,0,0,MINE_TEST,1.25
0.681687,-5.82859,-7.62859,-7.63168,-7.63971,0,7.63971,0,0,MINE_TEST,1.25
0.707583,-5.81358,-7.61358,-7.63231,-7.6623,0,7.6623,0,0,MINE_TEST,1.25
0.733692,-5.8043,-7.6043,-7.64403,-7.6951,0,7.6951,0,0,MINE_TEST,1.25
0.759773,-5.82073,-7.62073,-7.67299,-7.7373,0,7.7373,0,0,MINE_TEST,1.25
0.791823,-5.86276,-7.66276,-7.72331,-7.7873,0,7.7873,0,0,MINE_TEST,1.25
0.817501,-5.95128,-7.75128,-7.79504,-7.84307,0,7.84307,0,0,MINE_TEST,1.25
0.843533,-6.06515,-7.86515,-7.88308,-7.90243,0,7.90243,0,0,MINE_TEST,1.25
0.869279,-6.1818,-7.9818,-7.97792,-7.96321,0,7.96321,0,0,MINE_TEST,1.25
0.894993,-6.32155,-8.12155,-8.06803,-8.02328,0,8.02328,0,0,MINE_TEST,1.25
0.921063,-6.39838,-8.19838,-8.1433,-8.08056,0,8.08056,0,0,MINE_TEST,1.25
0.947074,-6.45159,-8.25159,-8.19802,-8.13307,0,8.13307,0,0,MINE_TEST,1.25
0.973081,-6.46772,-8.26772,-8.23186,-8.17902,0,8.17902,0,0,MINE_TEST,1.25
0.998751,-6.46655,-8.26655,-8.24864,-8.2169,0,8.2169,0,0,MINE_TEST,1.25
1.02468,-6.46379,-8.26379,-8.25404,-8.24575,0,8.24575,0,0,MINE_TEST,1.25
1.05045,-6.45313,-8.25313,-8.25364,-8.26535,0,8.26535,0,0,MINE_TEST,1.25
1.07645,-6.44609,-8.24609,-8.25199,-8.27642,0,8.27642,0,0,MINE_TEST,1.25
1.10248,-6.43994,-8.23994,-8.2522,-8.28055,0,8.28055,0,0,MINE_TEST,1.25
1.12835,-6.44367,-8.24367,-8.25569,-8.27984,0,8.27984,0,0,MINE_TEST,1.25
1.15424,-6.45958,-8.25958,-8.26205,-8.27638,0,8.27638,0,0,MINE_TEST,1.25
1.1806,-6.47378,-8.27378,-8.26927,-8.27177,0,8.27177,0,0,MINE_TEST,1.25
1.20655,-6.48711,-8.28711,-8.2747,-8.26694,0,8.26694,0,0,MINE_TEST,1.25
1.23253,-6.49243,-8.29243,-8.27618,-8.26231,-7.90243,0.359879,0,0,MINE_TEST,1.25
1.2584,-6.48226,-8.28226,-8.27308,-8.25806,-7.96321,0.294845,0,0,MINE_TEST,1.25
1.28414,-6.47035,-8.27035,-8.26637,-8.25441,-7.96321,0.291199,0,0,MINE_TEST,1.25
1.30994,-6.45125,-8.25125,-8.25794,-8.25171,-8.02328,0.228421,0,0,MINE_TEST,1.25
1.33588,-6.44318,-8.24318,-8.24954,-8.25034,-8.02328,0.227056,0,0,MINE_TEST,1.25
