Time,Raw_dBFS,S21_dB,S21_Gaussian,S21_SavGol,Baseline,Diff_dB,Detect_Flag,Minima_Flag,OBJ,Height
0.482381,-35.4637,-24.8637,-24.8827,-24.8075,0,24.8075,0,0,MINE_TEST,1.25
0.508599,-35.4427,-24.8427,-24.7745,-24.6221,0,24.6221,0,0,MINE_TEST,1.25
0.535007,-35.33,-24.73,-24.6677,-24.5057,0,24.5057,0,0,MINE_TEST,1.25
0.561183,-35.1318,-24.5318,-24.5632,-24.461,0,24.461,0,0,MINE_TEST,1.25
0.587503,-34.9744,-24.3744,-24.48,-24.4872,0,24.4872,0,0,MINE_TEST,1.25
0.617526,-34.8716,-24.2716,-24.4484,-24.5819,0,24.5819,0,0,MINE_TEST,1.25
0.643658,-34.8512,-24.2512,-24.4997,-24.7418,0,24.7418,0,0,MINE_TEST,1.25
0.669968,-34.9667,-24.3667,-24.657,-24.9625,0,24.9625,0,0,MINE_TEST,1.25
0.6963,-35.2676,-24.6676,-24.9277,-25.2379,0,25.2379,0,0,MINE_TEST,1.25
0.722501,-35.7566,-25.1566,-25.3002,-25.5583,0,25.5583,0,0,MINE_TEST,1.25
0.748643,-36.2705,-25.6705,-25.7467,-25.9105,0,25.9105,0,0,MINE_TEST,1.25
0.774654,-36.8341,-26.2341,-26.2305,-26.2773,0,26.2773,0,0,MINE_TEST,1.25
0.80116,-37.4014,-26.8014,-26.7115,-26.6381,0,26.6381,0,0,MINE_TEST,1.25
0.827424,-37.9173,-27.3173,-27.1502,-26.9698,0,26.9698,0,0,MINE_TEST,1.25
0.853975,-38.3531,-27.7531,-27.5101,-27.2487,0,27.2487,0,0,MINE_TEST,1.25
0.880239,-38.6416,-28.0416,-27.7606,-27.4525,0,27.4525,0,0,MINE_TEST,1.25
0.906446,-38.8027,-28.2027,-27.8804,-27.5627,0,27.5627,0,0,MINE_TEST,1.25
0.93309,-38.7683,-28.1683,-27.861,-27.5673,0,27.5673,0,0,MINE_TEST,1.25
0.959249,-38.5528,-27.9528,-27.7082,-27.4617,0,27.4617,0,0,MINE_TEST,1.25
0.985286,-38.2095,-27.6095,-27.4399,-27.2496,0,27.2496,0,0,MINE_TEST,1.25
1.01156,-37.7959,-27.1959,-27.0802,-26.9423,0,26.9423,0,0,MINE_TEST,1.25
1.03767,-37.3372,-26.7372,-26.6534,-26.557,0,26.557,0,0,MINE_TEST,1.25
1.06398,-36.8436,-26.2436,-26.1812,-26.1157,0,26.1157,0,0,MINE_TEST,1.25
1.09037,-36.3089,-25.7089,-25.685,-25.6434,0,25.6434,0,0,MINE_TEST,1.25
1.11689,-35.7364,-25.1364,-25.1886,-25.1667,0,25.1667,0,0,MINE_TEST,1.25
1.14316,-35.2004,-24.6004,-24.7202,-24.7127,0,24.7127,0,0,MINE_TEST,1.25
1.1695,-34.7196,-24.1196,-24.3104,-24.3077,0,24.3077,0,0,MINE_TEST,1.25
1.19541,-34.3443,-23.7443,-23.9892,-23.9769,0,23.9769,0,0,MINE_TEST,1.25
1.22171,-34.1098,-23.5098,-23.7831,-23.7464,0,23.7464,0,0,MINE_TEST,1.25
1.2477,-33.9972,-23.3972,-23.7154,-23.6498,-25.2379,1.58808,0,0,MINE_TEST,1.25
1.27376,-34.0466,-23.4466,-23.8075,-23.739,-25.2379,1.49891,0,0,MINE_TEST,1.25
1.29949,-34.283,-23.683,-24.0816,-24.0902,-25.1667,1.07658,0,0,MINE_TEST,1.25
1.32606,-34.7086,-24.1086,-24.5633,-24.7888,-25.1667,0.37792,0,0,MINE_TEST,1.25
1.35212,-35.3457,-24.7457,-25.2833,-25.8919,-25.1667,0.725193,0,0,MINE_TEST,1.25
1.37837,-36.2571,-25.6571,-26.2794,-27.3907,-25.2379,2.15278,0,0,MINE_TEST,1.25
1.40478,-37.4539,-26.8539,-27.5976,-29.203,-25.2379,3.9651,0,0,MINE_TEST,1.25
1.43076,-39.0633,-28.4633,-29.2928,-31.2004,-25.5583,5.64207,1,0,MINE_TEST,1.25
1.45707,-41.0511,-30.4511,-31.4299,-33.2453,-25.5583,7.687,1,0,MINE_TEST,1.25
1.48367,-43.4311,-32.8311,-34.0549,-35.2169,-25.5583,9.65859,1,0,MINE_TEST,1.25
1.51011,-46.4029,-35.8029,-37.1028,-37.0195,-25.5583,11.4612,1,0,MINE_TEST,1.25
1.5368,-50.264,-39.664,-40.2623,-38.5813,-25.5583,13.023,1,0,MINE_TEST,1.25
1.56305,-55.9713,-45.3713,-42.9368,-39.8502,-25.5583,14.2919,1,0,MINE_TEST,1.25
1.58955,-63.0523,-52.4523,-44.4682,-40.7907,-25.5583,15.2324,1,0,MINE_TEST,1.25
1.61558,-58.0805,-47.4805,-44.5437,-41.3827,-25.5583,15.8244,1,0,MINE_TEST,1.25
1.64415,-53.6093,-43.0093,-43.4211,-41.622,-25.5583,16.0637,1,0,MINE_TEST,1.25
1.67071,-51.1079,-40.5079,-41.734,-41.5219,-25.5583,15.9636,1,0,MINE_TEST,1.25
1.69726,-49.5242,-38.9242,-40.0831,-41.116,-25.5583,15.5577,1,1,MINE_TEST,1.25
1.72359,-48.5199,-37.9199,-38.7874,-40.4609,-25.5583,14.9026,1,0,MINE_TEST,1.25
1.7499,-47.8548,-37.2548,-37.903,-39.6401,-25.5583,14.0818,1,0,MINE_TEST,1.25
1.77664,-47.5393,-36.9393,-37.3613,-38.7658,-25.5583,13.2075,1,0,MINE_TEST,1.25
1.80314,-47.3721,-36.7721,-37.0746,-37.9727,-25.5583,12.4145,1,0,MINE_TEST,1.25
1.82975,-47.3207,-36.7207,-36.9797,-37.3952,-25.5583,11.8369,1,0,MINE_TEST,1.25
1.85631,-47.374,-36.774,-37.0411,-37.131,-25.5583,11.5727,1,0,MINE_TEST,1.25
1.88304,-47.553,-36.953,-37.2448,-37.2117,-25.5583,11.6534,1,0,MINE_TEST,1.25
1.90992,-47.9041,-37.3041,-37.5882,-37.6028,-25.5583,12.0445,1,0,MINE_TEST,1.25
1.93678,-48.3934,-37.7934,-38.0713,-38.2321,-25.5583,12.6738,1,0,MINE_TEST,1.25
1.96341,-49.0266,-38.4266,-38.6939,-39.0223,-25.5583,13.464,1,0,MINE_TEST,1.25
1.98997,-49.7757,-39.1757,-39.4545,-39.9059,-25.5583,14.3476,1,0,MINE_TEST,1.25
2.0161,-50.6695,-40.0695,-40.3483,-40.8241,-25.5583,15.2658,1,0,MINE_TEST,1.25
2.0425,-51.7283,-41.1283,-41.3604,-41.7217,-25.5583,16.1634,1,0,MINE_TEST,1.25
2.06888,-52.8987,-42.2987,-42.4534,-42.5475,-25.5583,16.9892,1,0,MINE_TEST,1.25
2.09553,-54.2464,-43.6464,-43.5534,-43.2571,-25.5583,17.6988,1,0,MINE_TEST,1.25
