Time,Raw_dBFS,S21_dB,S21_Gaussian,S21_Gauss_SavGol,OBJ,Height
0.306544,1.65359,0.0335938,0.0276682,0.0258112,NO,1.25
0.323176,1.65431,0.0343059,0.027658,0.0258581,NO,1.25
0.339801,1.63329,0.0132902,0.0270334,0.0260326,NO,1.25
0.356549,1.65268,0.0326761,0.0260172,0.0263341,NO,1.25
0.372972,1.65794,0.0379357,0.0248857,0.0266354,NO,1.25
0.391169,1.62665,0.0066463,0.0241598,0.026728,NO,1.25
0.40752,1.63713,0.0171312,0.0243111,0.0264575,NO,1.25
0.424122,1.65119,0.0311908,0.0251982,0.0258371,NO,1.25
0.440873,1.65928,0.0392822,0.0261554,0.0250403,NO,1.25
0.457692,1.63484,0.0148386,0.026707,0.0242765,NO,1.25
0.474131,1.64598,0.025976,0.0267044,0.0236551,NO,1.25
0.494655,1.65068,0.0306805,0.0258546,0.0231421,NO,1.25
0.511041,1.66086,0.040856,0.0237823,0.0226154,NO,1.25
0.527672,1.62874,0.00874017,0.0207423,0.0219423,NO,1.25
0.543995,1.64052,0.0205154,0.0179155,0.0210334,NO,1.25
0.560538,1.62137,0.00136514,0.0166401,0.0198863,NO,1.25
0.577302,1.63351,0.0135055,0.0172899,0.0186298,NO,1.25
0.593933,1.64255,0.0225485,0.0188867,0.0175027,NO,1.25
0.610604,1.64855,0.0285542,0.0198239,0.0167506,NO,1.25
0.627292,1.65549,0.0354895,0.0191652,0.0165234,NO,1.25
0.64549,1.61895,-0.00105277,0.017299,0.0168497,NO,1.25
0.662194,1.63417,0.0141695,0.0153908,0.0176547,NO,1.25
0.679263,1.64279,0.0227859,0.0144782,0.0187605,NO,1.25
0.700243,1.62149,0.00149315,0.0151538,0.019906,NO,1.25
0.718507,1.62941,0.00940712,0.0175222,0.0208392,NO,1.25
0.738796,1.64874,0.0287426,0.0210717,0.0214422,NO,1.25
0.759869,1.64105,0.021052,0.0246827,0.0217805,NO,1.25
0.777106,1.66143,0.0414332,0.027179,0.0220279,NO,1.25
0.794422,1.64832,0.0283178,0.0279243,0.0223305,NO,1.25
0.810738,1.64335,0.0233498,0.0269474,0.0227138,NO,1.25
0.829788,1.65928,0.0392848,0.0247423,0.0230896,NO,1.25
0.845735,1.62977,0.00976933,0.0220841,0.0233337,NO,1.25
0.862599,1.64257,0.0225708,0.0198756,0.0233568,NO,1.25
0.878752,1.63127,0.0112704,0.0188347,0.0231294,NO,1.25
0.898551,1.63457,0.0145736,0.0191212,0.0226904,NO,1.25
0.914788,1.64193,0.0219288,0.0202626,0.0221465,NO,1.25
0.932548,1.65108,0.0310803,0.021563,0.0216394,NO,1.25
0.951313,1.63455,0.0145461,0.0225925,0.0212972,NO,1.25
0.967387,1.64273,0.0227328,0.0232571,0.0212064,NO,1.25
0.98394,1.65383,0.0338343,0.0235308,0.0213762,NO,1.25
1.0003,1.63579,0.0157865,0.0233372,0.0216907,NO,1.25
1.01917,1.64371,0.023714,0.0226468,0.0219352,NO,1.25
1.0352,1.65466,0.0346611,0.0216033,0.0219258,NO,1.25
1.05213,1.62444,0.00444284,0.0205214,0.0216197,NO,1.25
1.06839,1.63715,0.0171484,0.0197254,0.0210905,NO,1.25
1.08502,1.66003,0.0400349,0.0194142,0.020432,NO,1.25
1.10121,1.61511,-0.00488552,0.0196261,0.019709,NO,1.25
1.11785,1.64161,0.0216066,0.0200393,0.0189699,NO,1.25
1.13956,1.65024,0.0302412,0.0198494,0.0182539,NO,1.25
1.15863,1.65944,0.0394396,0.0185136,0.0175775,NO,1.25
1.18122,1.61805,-0.00195171,0.0166579,0.0169413,NO,1.25
1.20076,1.61513,-0.0048666,0.0155261,0.0163612,NO,1.25
1.22256,1.64739,0.0273894,0.0154385,0.015871,NO,1.25
1.23933,1.64948,0.0294791,0.0155479,0.0154872,NO,1.25
1.25702,1.6347,0.014704,0.0151885,0.0151996,NO,1.25
1.27717,1.61648,-0.00351691,0.0146473,0.0150145,NO,1.25
1.29825,1.63905,0.019046,0.014431,0.0149913,NO,1.25
1.32029,1.64454,0.0245409,0.0145152,0.0152144,NO,1.25
1.3371,1.63124,0.0112369,0.014723,0.015711,NO,1.25
1.35457,1.63027,0.0102688,0.0152682,0.0163826,NO,1.25
1.37128,1.62812,0.00812468,0.0163809,0.0170435,NO,1.25
1.38892,1.64331,0.0233104,0.0177228,0.0175581,NO,1.25
1.41032,1.65748,0.0374797,0.0186942,0.017923,NO,1.25
1.43222,1.61999,-1.30003e-05,0.0192019,0.0181851,NO,1.25
