Elapsed Time (s),Frequency (Hz),S11 (dB),S21 (dB),OBJ,Height (m)
0.22497963905334473,2000000000.0,-45.38375997207869,-19.21094021763071,NO,0.0
0.5440959930419922,2000000000.0,-45.34975106942142,-19.1895119047625,NO,0.0
0.8689818382263184,2000000000.0,-45.365113559212915,-19.17911489098865,NO,0.0
1.194946050643921,2000000000.0,-45.407721012061344,-19.25324023813895,NO,0.0
1.5085935592651367,2000000000.0,-45.45453076290911,-19.242799150212143,NO,0.0
1.831815242767334,2000000000.0,-45.45920190917572,-19.297246160011326,NO,0.0
2.146257162094116,2000000000.0,-45.409503341745946,-19.295816976669407,NO,0.0
2.4654476642608643,2000000000.0,-45.39593367216171,-19.304657935028974,NO,0.0
2.789363384246826,2000000000.0,-45.373152983336425,-19.330462848406643,NO,0.0
3.1126365661621094,2000000000.0,-45.297145897618606,-19.371874916725282,NO,0.0
3.431938409805298,2000000000.0,-45.37091033144541,-19.36399976400795,NO,0.0
3.748417615890503,2000000000.0,-45.400107336702575,-19.373445884429355,NO,0.0
4.072107553482056,2000000000.0,-45.29673093435734,-19.356261121048576,NO,0.0
4.3940818309783936,2000000000.0,-45.352102354292605,-19.332628328457247,NO,0.0
4.720279932022095,2000000000.0,-45.333226800861546,-19.345288609615736,NO,0.0
5.046141624450684,2000000000.0,-45.380878370689516,-19.342813422395054,NO,0.0
5.3686842918396,2000000000.0,-45.29910325704108,-19.30803498666573,NO,0.0
5.6887781620025635,2000000000.0,-45.32815584569868,-19.30672410526629,NO,0.0
6.0090625286102295,2000000000.0,-45.35229565898796,-19.35153105080413,NO,0.0
6.336899042129517,2000000000.0,-45.29375352719825,-19.422391020608,NO,0.0
6.65507435798645,2000000000.0,-45.26210034195743,-19.4564772938924,NO,0.0
6.979843378067017,2000000000.0,-45.32527051813224,-19.501598821373516,NO,0.0
7.2933030128479,2000000000.0,-45.2679067577042,-19.52187749544032,NO,0.0
7.612567186355591,2000000000.0,-45.27809514460457,-19.536443440927904,NO,0.0
7.937755584716797,2000000000.0,-45.3251539104818,-19.484612651485754,NO,0.0
